KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,S. Name,S. Constellation
1.01,1.7952,13140,2062,55.76258,0.00004,2.4706131,0.0000004,8.519,0.082,0.12429,0.00029,0.816,0.067,20.3,0.037,1603,0.0000014,1,,1,Hot,Jovian,gas,metals-rich,non-habitable,0.67,3.1,2.47,0.804,1.972,-2.32,11.36,-0.12,0.08,0.13,0,0.06,0,0,0,1,tran,2011,KOI-1,Cyg
2.01,3.9107,6205,2413,54.35781,0.00005,2.2047355,0.0000004,4.152,0.041,0.07931,0.00012,0.51,0.1,11.6,0.037,1743,0.0000024,1,,1,Hot,Jovian,gas,metals-rich,non-habitable,2.25,5.99,2.2,2.345,5.641,-2.4,11.75,0.69,0.08,0.12,0,0.06,0,0,0,1,tran,2011,KOI-2,Cyg
3.01,2.3607,3873,328,57.81227,0.00033,4.8878177,0.0000089,16.1,9.1,0.0577,0.0073,0.29,0.86,4.8,0.05,796,0.000002,1,,1,Hot,Neptunian,gas,metals-rich,non-habitable,1,2.25,4.89,0.394,1.015,-2.1,3.46,-0.18,0.2,0.33,0.02,0.16,0,0,0,1,tran,2011,KOI-3,Cyg
5.01,2.0326,876,263,65.9735,0.00025,4.7803247,0.0000058,7.3,2.2,0.03707,0.0002,0.91,0.27,7,0.059,1376,-,3,,1,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.15,4.78,1.093,2.674,-2.31,4.26,-0.57,0.17,0.3,0,0.14,0,0,0,0,tran,2011,KOI-5,Cyg
7.01,3.6234,683,231,56.61126,0.00041,3.213682,0.000011,3.94,0.56,0.02911,0.00069,0.86,0.23,3.7,0.044,1290,0.0000095,1,,1,Hot,Neptunian,gas,metals-rich,non-habitable,1.53,2.47,3.21,0.976,2.389,-2.32,2.05,-0.45,0.24,0.4,0,0.18,0,0,0,1,tran,2011,KOI-7,Dra
10.01,3.286,8686,237,54.11809,0.00062,3.522297,0.00008,8.15,0.34,0.09138,0.00071,0.53,0.21,10.5,0.047,1287,0.0000065,1,,1,Hot,Jovian,gas,metals-rich,non-habitable,0.76,3.47,3.52,1.26,3.062,-2.35,12.35,-0.01,0.07,0.12,0,0.06,0,0,0,1,tran,2011,KOI-10,Lyr
12.01,7.4343,8559,604,79.59772,0.00038,17.855038,0.000038,19.9,0.025,0.0874,0.0001,0.0003,-,12.6,0.141,868,0.0000094,3,NoObs,1,Hot,Jovian,gas,metals-rich,non-habitable,0.68,3.01,17.86,1.341,3.182,-2.3,10.55,0.2,0.08,0.14,0.01,0.07,0,0,0,0,tran,2011,KOI-12,Cyg
13.01,3.2029,4286,1147,53.56498,0.00012,1.7635892,0.0000014,4.51,0.2,0.07695,0.00043,0.26,0.24,20.5,0.035,3257,0.0000018,2,2_3,1,Hot,Jovian,gas,hydrogen-rich,non-habitable,9.14,13.69,1.76,4.753,11.102,-2.49,23.9,2.83,0.04,0.09,0,0.05,0,0,0,1,tran,2011,KOI-13,Lyr
17.01,3.9011,9939,724,54.48575,0.00007,3.2347003,0.0000012,6.9639,0.0036,0.09467,0.00004,-,-,9.4,0.041,1192,0.000016,1,,1,Hot,Jovian,gas,metals-rich,non-habitable,0.97,3.79,3.23,0.824,2.019,-2.3,11.16,0.33,0.08,0.13,0,0.06,0,0,0,1,tran,2011,KOI-17,Cyg
18.01,4.6271,6690,496,55.90127,0.00022,3.548461,0.000033,6.7257,0.0047,0.0788,0.00005,0.0001,-,8.2,0.045,1180,0.000033,1,,1,Hot,Jovian,gas,hydrogen-rich,non-habitable,2.61,6.47,3.55,1.764,4.238,-2.38,11.95,1.28,0.08,0.12,0,0.06,0,0,0,1,tran,2011,KOI-18,Cyg
