KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,ESLi,ESLs,ESLg
1.01,1.7952,13140,2062,55.76258,0.00004,2.4706131,0.0000004,8.519,0.082,0.12429,0.00029,0.816,0.067,20.3,0.037,1603,0.0000014,1,,1,0.258,0.02,0.072
2.01,3.9107,6205,2413,54.35781,0.00005,2.2047355,0.0000004,4.152,0.041,0.07931,0.00012,0.51,0.1,11.6,0.037,1743,0.0000024,1,,1,0.349,0.019,0.081
3.01,2.3607,3873,328,57.81227,0.00033,4.8878177,0.0000089,16.1,9.1,0.0577,0.0073,0.29,0.86,4.8,0.05,796,0.000002,1,,1,0.542,0.125,0.26
4.01,2.3866,1099,136,90.5261,0.00055,3.84937,0.000014,10,24,0.034,0.015,0.7,1.4,4,0.05,1242,-,3,,1,0.589,0.05,0.172
5.01,2.0326,876,263,65.9735,0.00025,4.7803247,0.0000058,7.3,2.2,0.03707,0.0002,0.91,0.27,7,0.059,1376,-,3,,1,0.452,0.036,0.127
7.01,3.6234,683,231,56.61126,0.00041,3.213682,0.000011,3.94,0.56,0.02911,0.00069,0.86,0.23,3.7,0.044,1290,0.0000095,1,,1,0.61,0.047,0.169
10.01,3.286,8686,237,54.11809,0.00062,3.522297,0.00008,8.15,0.34,0.09138,0.00071,0.53,0.21,10.5,0.047,1287,0.0000065,1,,1,0.368,0.039,0.119
12.01,7.4343,8559,604,79.59772,0.00038,17.855038,0.000038,19.9,0.025,0.0874,0.0001,0.0003,-,12.6,0.141,868,0.0000094,3,NoObs,1,0.334,0.086,0.17
13.01,3.2029,4286,1147,53.56498,0.00012,1.7635892,0.0000014,4.51,0.2,0.07695,0.00043,0.26,0.24,20.5,0.035,3257,0.0000018,2,"2,3",1,0.257,0.004,0.03
17.01,3.9011,9939,724,54.48575,0.00007,3.2347003,0.0000012,6.9639,0.0036,0.09467,0.00004,-,-,9.4,0.041,1192,0.000016,1,,1,0.389,0.047,0.135
18.01,4.6271,6690,496,55.90127,0.00022,3.548461,0.000033,6.7257,0.0047,0.0788,0.00005,0.0001,-,8.2,0.045,1180,0.000033,1,,1,0.417,0.049,0.143
20.01,4.7062,15524,2001,104.00835,0.00006,4.4379643,0.0000013,8.0762,0.0038,0.11678,0.00004,0.0001,-,12.8,0.054,1145,0.0000048,2,"1,2,3",,0.331,0.048,0.126
22.01,4.3233,9783,1098,110.24939,0.00011,7.8914455,0.0000059,15.471,0.013,0.09222,0.00006,0.0271,-,9.4,0.079,890,0.0000053,2,"1,2,3",,0.389,0.087,0.184
41.01,6.3192,206,44,55.9589,0.0042,12.81521,0.00029,15.67,0.24,0.01353,0.00019,0.001,0.01,1.4,0.109,741,0.000036,2,"1,2,3,4",,0.892,0.168,0.387
42.01,4.4845,231,34,114.235,0.018,17.8328,0.0022,21.8612,0.0027,0.01721,-,0.6978,-,2.6,0.14,834,0.0000061,2,"1,3",,0.71,0.126,0.299
44.01,14.0968,2543,67,93.395,0.013,66.5126,0.007,17.3,1.2,0.0782,0.0013,0.83,0.17,7.5,0.304,412,-,2,,1,0.436,0.372,0.403
46.01,3.8313,1241,145,103.931,0.00083,3.487714,0.000028,7.241,0.044,0.03279,0.00016,0.0021,-,3.2,0.043,1117,0.000011,2,1,,0.65,0.066,0.207
49.01,3.6652,1026,17,108.99,0.0053,8.31393,0.00041,19,1.1,0.0266,0.0014,0.03,0.072,2.8,0.079,906,0.000034,2,1,,0.688,0.105,0.269
51.01,3.3759,24059,275,66.93528,0.00052,10.431147,0.00002,21.1,6.3,0.16271,0.00076,0.56,0.17,4.8,0.056,314,NaN,3,,1,0.542,0.605,0.573
63.01,2.991,3783,97,110.8421,0.0015,9.434152,0.000098,27.57,0.63,0.0566,0.001,0.025,0.036,6.6,0.089,844,0.0000053,2,3,1,0.465,0.104,0.22
64.01,1.6811,1127,132,90.54051,0.00046,1.9510939,0.0000057,4.4,1.3,0.04,0.00034,0.84,0.25,8.5,0.032,1760,0.000043,3,"1,2,3,4",1,0.41,0.02,0.09
69.01,2.8948,248,138,67.92512,0.00069,4.726745,0.000018,12.706,0.084,0.01465,0.00008,0,0.014,1.6,0.056,1036,-,3,,1,0.849,0.081,0.263
70.01,3.7978,946,135,71.60857,0.00081,10.854042,0.000039,20,18,0.0297,0.0054,0.49,1,2.3,0.094,643,0.000017,2,"1,2,3",,0.746,0.213,0.399
70.02,2.4785,345,58,67.5005,0.0011,3.696125,0.000017,6.2,9.6,0.0209,0.0055,0.85,0.78,1.6,0.046,919,0.000023,2,"1,3",,0.849,0.105,0.298
70.03,7.238,731,34,97.729,0.01,77.609,0.0063,83.39,0.99,0.02575,0.00033,0.198,0.035,2,0.35,333,0.000019,2,"1,2,3",,0.778,0.584,0.674
70.04,2.7697,68,15,68.93,0.0055,6.09852,0.00014,16,95,0.0079,0.0087,0.4,2.7,0.6,0.064,779,0.000034,2,,,0.886,0.148,0.362
72.01,1.82,169,101,64.57364,0.0007,0.8374958,0.0000042,3.609,0.035,0.01211,0.00009,0.029,0.027,1.3,0.018,1790,0.00001,1,"1,2,3",1,0.916,0.025,0.152
72.02,6.8565,425,74,71.676,0.0021,45.29491,0.00069,35,38,0.0214,0.0042,0.73,0.84,2.3,0.252,478,0.0000081,2,"1,2",,0.746,0.361,0.519
75.01,17.4137,1175,165,89.9691,0.0019,105.8885,0.0014,47.1,2.3,0.0362,0.0012,0.01,0.23,4.3,0.449,391,-,2,,,0.57,0.448,0.505
82.01,4.139,904,102,67.7519,0.0014,16.14583,0.00012,18.3,6.7,0.0337,0.0025,0.85,0.38,6.8,0.131,786,0.0000056,2,"1,2,3,4,5",,0.458,0.12,0.234
82.02,3.2778,228,31,67.0745,0.0044,10.312,0.00026,13,30,0.0182,0.0083,0.86,0.92,3.7,0.097,914,0.0000088,2,"1,2,3,4,5",,0.61,0.099,0.245
84.01,3.4186,638,141,68.99092,0.00073,9.287047,0.00003,21.25,0.15,0.02349,0.00013,0.0009,-,2.2,0.086,737,0.000042,2,"1,2,3",,0.759,0.166,0.354
85.01,4.0746,300,117,65.0392,0.0012,5.859965,0.000039,7.7,5.7,0.0179,0.0022,0.73,0.69,3.2,0.067,1318,0.000024,2,"1,2,3,4",,0.65,0.046,0.173
85.02,3.204,91,53,66.5008,0.0019,2.15488,0.000018,4.5,1.3,0.00923,0.00013,0.277,0.083,1.7,0.035,1823,-,4,,,0.83,0.022,0.136
85.03,4.2219,95,34,70.9924,0.0035,8.13119,0.00012,7,15,0.0111,0.0039,0.88,0.81,2,0.084,1177,-,4,,,0.778,0.057,0.211
87.01,7.5747,443,38,66.6987,0.0033,289.8605,0.0047,311.1,5,0.01956,0.00033,0.02,0.066,2.4,0.877,282,0.000012,2,"1,2",,0.733,0.789,0.76
89.01,10.4048,343,35,83.587,0.012,84.6763,0.0075,56,156,0.018,0.01,0.5,1.7,4.4,0.427,756,0.000062,2,"1,2,3",,0.564,0.14,0.281
89.02,7.424,347,22,222.855,0.005,107.5,0.0097,48,14,0.02241,0.00061,0.86,0.26,5.5,0.501,698,0.000054,2,1,,0.508,0.157,0.282
92.01,3.7259,648,39,70.4508,0.0042,65.7008,0.0019,56,17,0.03169,0.00074,0.89,0.27,4.4,0.33,505,0.000008,2,"1,2,3",,0.564,0.294,0.407
94.01,7.0052,5240,382,65.74223,0.00047,22.34094,0.00065,24.3,4,0.07,0.0024,0.39,0.45,12.6,0.165,851,0.000022,2,"1,2,3",,0.334,0.09,0.173
94.02,5.3435,690,34,71.0084,0.0051,10.42361,0.00022,13.73,0.76,0.022,0.051,0.201,0.081,4,0.099,1099,0.000088,2,"1,3",,0.589,0.066,0.197
94.03,9.007,1778,53,94.2397,0.0044,90.5323,0.0017,84.7,4.5,0.0382,0.0016,0.006,0.076,6.9,0.419,534,0.000045,2,"1,3",,0.455,0.246,0.334
97.01,5.5128,6835,1275,67.27602,0.00013,4.8854906,0.0000024,7.8838,0.0076,0.07784,0.00007,-,-,11,0.059,1226,0.000013,1,,1,0.359,0.043,0.124
98.01,6.8561,2120,478,71.08749,0.00048,6.790119,0.000019,8.004903,0.000022,0.0534,0.0094,0.0001,-,12.1,0.077,1528,0.000009,2,"1,2,3",,0.341,0.025,0.093
ﾆ99.01,19.7865,1662,72,73.0486,0.0019,817,12,327.4,4.9,0.03768,-,-,-,4.6,1.693,177,0.000042,3,1,1,#N/A,#N/A,#N/A
