P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-1.01,Kepler-1 b,1.01,Hot,Jovian,gas,metals-rich,non-habitable,,138.41,,14.40,0.05,0.67,3.10,        888.7846,        888.7847,        888.7849,1391.1,1391.1,1391.1,,,,6.4,-30.40,27.63,2.47,0.04,0.00,0.04,84.2,,KOI-1,,,Cyg,G,0.98,1.06,5814.0,1.151865,,6.500,11.3,196.56,19.1206,49.3164,-34.1,15.7409,1,0,0.804,1.972,-2.32,11.36,-0.12,0.08,,0.13,0.00,0.06,0,0,0,1,tran,2011
KOI-2.01,Kepler-2 b,2.01,Hot,Jovian,gas,metals-rich,non-habitable,571.77,572.04,,15.93,0.14,2.25,5.99,        6669.697,        6669.699,        6669.700,2302.4,2302.4,2302.4,,,,81.0,-32.82,30.63,2.20,0.04,0.00,0.04,88.2,,KOI-2,,,Cyg,F,1.65,2.71,6264.0,10.144613,,1.980,10.5,390.62,19.4832,47.9695,-36.3,37.7077,1,0,2.345,5.641,-2.40,11.75,0.69,0.08,,0.12,0.00,0.06,0,0,0,1,tran,2011
KOI-3.01,Kepler-3 b,3.01,Hot,Neptunian,gas,metals-rich,non-habitable,25.74,25.74,,5.07,0.20,1.00,2.25,        94.25557,        94.25558,        94.25560,793.8,793.8,793.8,,,,5.1,-25.67,9.64,4.89,0.05,0.00,0.05,90.0,,KOI-3,,,Cyg,K,0.78,0.74,4766.0,0.254867,,9.000,9.2,34.29,19.8473,48.0809,-31.7,7.6099,1,0,0.394,1.015,-2.10,3.46,-0.18,0.20,,0.33,0.02,0.16,0,0,0,1,tran,2011
KOI-5.01,,5.01,Hot,Neptunian,gas,metals-rich,non-habitable,,26.11,,5.66,0.14,0.82,2.15,        634.5961,        634.5963,        634.5963,1278.7,1278.7,1278.7,,,,3.8,-28.00,10.77,4.78,0.06,0.00,0.06,82.5,,KOI-5,,,Cyg,G,1.14,1.42,5861.0,2.134782,,5.100,11.7,310.86,19.3160,44.6474,-33.8,13.0756,2,0,1.093,2.674,-2.31,4.26,-0.57,0.17,,0.30,0.00,0.14,0,0,0,0,tran,2011
KOI-5.02,,5.02,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.28,,0.66,0.98,0.65,0.65,        379.5167,        379.5167,        379.5168,1124.5,1124.5,1124.5,1167.3,1167.3,1167.3,0.3,-22.75,1.25,7.05,0.07,0.00,0.07,85.4,,KOI-5,,,Cyg,G,1.14,1.42,5861.0,2.134782,,5.100,11.7,310.86,19.3160,44.6474,-33.2,10.1030,2,0,1.093,2.674,-2.29,-0.41,-1.35,0.27,0.00,0.80,0.01,0.28,0,0,0,0,tran,2011
KOI-7.01,Kepler-4 b,7.01,Hot,Neptunian,gas,metals-rich,non-habitable,24.16,24.47,,4.00,0.38,1.53,2.47,        880.2159,        880.2161,        880.2163,1387.7,1387.7,1387.7,,,,9.3,-27.60,7.61,3.21,0.04,0.00,0.04,80.8,,KOI-7,,,Dra,G,1.12,1.27,5858.0,1.704098,,4.700,12.2,356.71,19.0410,50.1358,-34.1,15.4285,1,0,0.976,2.389,-2.32,2.05,-0.45,0.24,,0.40,0.00,0.18,0,0,0,1,tran,2011
KOI-10.01,Kepler-8 b,10.01,Hot,Jovian,gas,metals-rich,non-habitable,191.01,191.63,,15.91,0.05,0.76,3.47,        1302.481,        1302.481,        1302.481,1530.5,1530.5,1530.5,,,,9.1,-31.03,30.59,3.52,0.05,0.00,0.05,85.4,,KOI-10,,,Lyr,F,1.14,1.56,6025.0,2.877181,,5.400,13.6,861.31,18.7525,42.4511,-34.6,17.7593,1,0,1.260,3.062,-2.35,12.35,-0.01,0.07,,0.12,0.00,0.06,0,0,0,1,tran,2011
KOI-12.01,,12.01,Hot,Jovian,gas,metals-rich,non-habitable,,121.72,,13.40,0.05,0.68,3.01,        164.3557,        164.3557,        164.3557,912.2,912.2,912.2,,,,6.2,-28.40,25.68,17.86,0.14,0.00,0.14,90.0,,KOI-12,,,Cyg,F,1.27,1.40,6635.0,3.408079,,2.120,11.4,340.44,19.8302,41.0110,-32.3,5.1829,1,0,1.341,3.182,-2.30,10.55,0.20,0.08,,0.14,0.01,0.07,0,0,0,0,tran,2011
KOI-13.01,KOI-13 b,13.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,3832.83,3845.38,,20.51,0.45,9.14,13.69,        30666.97,        30666.97,        30666.97,3371.4,3371.4,3371.4,,,,1713.3,-35.04,39.78,1.76,0.04,0.00,0.04,85.4,,KOI-13,,,Lyr,A,2.26,2.70,9071.0,44.283106,,0.580,10.0,647.50,19.1314,46.8684,-38.0,38.5904,1,0,4.753,11.102,-2.49,23.90,2.83,0.04,,0.09,0.00,0.05,0,0,0,1,tran,2011
KOI-17.01,Kepler-6 b,17.01,Hot,Jovian,gas,metals-rich,non-habitable,212.61,212.61,,14.83,0.07,0.97,3.79,        597.5871,        597.5871,        597.5872,1259.6,1259.6,1259.6,,,,13.9,-30.03,28.47,3.23,0.04,0.00,0.04,90.0,,KOI-17,,,Cyg,G,1.12,1.08,5826.0,1.210114,,1.300,13.3,495.84,19.7891,48.2399,-33.7,12.8405,1,0,0.824,2.019,-2.30,11.16,0.33,0.08,,0.13,0.00,0.06,0,0,0,1,tran,2011
KOI-18.01,Kepler-5 b,18.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,671.83,671.83,,16.04,0.16,2.61,6.47,        2128.730,        2128.730,        2128.731,1730.5,1730.5,1730.5,,,,109.4,-31.59,30.85,3.55,0.05,0.00,0.05,90.0,,KOI-18,,,Cyg,F,1.46,2.02,6297.0,5.756087,,2.600,13.4,1114.62,19.9605,44.0351,-35.1,20.8160,1,0,1.764,4.238,-2.38,11.95,1.28,0.08,,0.12,0.00,0.06,0,0,0,1,tran,2011
KOI-20.01,Kepler-12 b,20.01,Hot,Jovian,gas,metals-rich,non-habitable,136.97,136.97,,19.00,0.02,0.38,2.69,        711.3100,        711.3101,        711.3101,1315.7,1315.7,1315.7,,,,2.7,-30.76,36.73,4.44,0.06,0.00,0.06,90.0,,KOI-20,,,Dra,F,1.18,1.38,6011.0,2.230668,,4.010,13.4,716.17,19.0829,50.0404,-33.9,13.1615,1,0,1.110,2.699,-2.33,16.10,-0.30,0.06,,0.10,0.00,0.05,0,0,0,1,tran,2011
KOI-22.01,,22.01,Hot,Jovian,gas,metals-rich,non-habitable,,89.35,,11.27,0.06,0.70,2.82,        215.0842,        215.0843,        215.0843,975.7,975.7,975.7,,,,5.6,-28.32,21.54,7.89,0.08,0.00,0.08,89.4,,KOI-22,,,Lyr,G,1.16,1.11,5972.0,1.411168,,1.500,13.4,568.84,18.8420,46.3234,-32.6,7.3211,1,0,0.884,2.154,-2.27,8.84,0.01,0.10,,0.16,0.01,0.08,0,0,0,0,tran,2011
KOI-41.01,,41.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.23,,2.08,0.69,1.44,1.73,        134.3105,        134.3105,        134.3105,867.3,867.3,867.3,921.9,921.9,921.9,4.3,-24.12,3.95,12.82,0.11,0.00,0.11,84.8,,KOI-41,,,Lyr,G,1.10,1.23,5909.0,1.654840,,4.600,11.2,220.86,19.4257,41.9903,-32.1,5.9079,3,0,0.960,2.345,-2.23,0.48,-0.59,0.30,0.00,0.65,0.01,0.26,0,0,0,0,tran,2011
KOI-41.02,,41.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.83,,1.24,0.96,1.19,1.22,        310.5347,        310.5348,        310.5349,1069.5,1069.5,1069.5,1120.3,1120.3,1120.3,1.8,-23.90,2.36,6.89,0.07,0.00,0.07,81.9,,KOI-41,,,Lyr,G,1.10,1.23,5909.0,1.654840,,4.600,11.2,220.86,19.4257,41.9903,-33.0,8.9885,3,0,0.960,2.345,-2.28,-0.19,-1.01,0.29,0.00,0.89,0.01,0.29,0,0,0,0,tran,2011
