KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
5.02,7.0518564,0.66,0.075,1124,0.89,-99,-0.88,-0.67,3.82,-0.89,2.15,0.4,-99,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.65,0.65,7.05,1.093,2.674,-2.29,-0.41,-1.35,0.27,0.8,0.01,0.28,0,0,0,0,tran,2011
41.02,6.8870994,1.23,0.073,1071,1.73,0.17,0.73,0.69,0.75,-0.14,1.65,0.9,-99,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.19,1.22,6.89,0.96,2.345,-2.28,-0.19,-1.01,0.29,0.89,0.01,0.29,0,0,0,0,tran,2011
41.03,35.3331429,1.4,0.218,620,2.41,-99,-1,-0.58,0.59,-0.72,1.89,0.6,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.29,1.34,35.33,0.96,2.345,-2.07,-0.08,-0.69,0.31,0.83,0.06,0.32,0,0,0,0,tran,2011
46.02,6.0290779,0.96,0.067,1032,2.6,-99,-0.19,0.94,0.63,-14.95,7.92,1.9,-99,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.96,0.96,6.03,0.826,2.029,-2.26,-0.33,-1.15,0.28,0.98,0.01,0.3,0,0,0,0,tran,2011
70.05,19.5778928,1.02,0.137,629,0,-99,1.95,-0.2,0.68,0.7,0.28,2.2,-99,,,,,,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.01,1.01,19.58,0.634,1.58,-2.05,-0.31,-0.95,0.3,1,0.05,0.33,0,0,0,1,tran,2011
82.03,27.4537815,1.03,0.165,457,2.1,-99,-0.07,-0.36,0.68,-0.18,0.29,0.7,-99,,,,,,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.07,1.08,27.45,0.412,1.055,-1.77,-0.28,-0.76,0.34,0.96,0.18,0.42,0,0,0,0,tran,2011
82.04,7.0713053,0.7,0.067,718,2.22,-99,0.45,-0.56,0.35,-0.15,0.38,1.6,-99,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.68,0.69,7.07,0.412,1.055,-2.08,-0.41,-1.23,0.29,0.82,0.03,0.3,0,0,0,0,tran,2011
82.05,5.2870294,0.52,0.055,792,1.79,-99,0.57,0.18,0.61,-0.45,0.71,0.7,-99,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.53,0.53,5.29,0.412,1.055,-2.11,-0.44,-1.36,0.28,0.7,0.02,0.28,0,0,0,0,tran,2011
94.04,3.7432452,1.41,0.05,1364,2.68,-99,0.13,-0.55,0.61,1.01,0.82,1.5,-99,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.12,3.74,1.286,3.103,-2.36,4.11,-0.67,0.17,0.31,0,0.14,0,0,0,0,tran,2011
108.02,179.6010436,4.45,0.654,359,3.36,-99,-0.1,0.07,0.08,0.3,0.42,0.7,-99,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.86,1.96,179.6,0.963,2.345,-1.45,3.21,0.27,0.22,0.37,0.41,0.39,0,0,0,0,tran,2011
