P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
1.01,Hot,Jovian,gas,metals-rich,non-habitable,0.67,3.1,2.47,0.804,1.972,-2.32,11.36,-0.12,0.08,0.13,0,0.06,0,0,0,1,tran,2011
2.01,Hot,Jovian,gas,metals-rich,non-habitable,2.25,5.99,2.2,2.345,5.641,-2.4,11.75,0.69,0.08,0.12,0,0.06,0,0,0,1,tran,2011
3.01,Hot,Neptunian,gas,metals-rich,non-habitable,1,2.25,4.89,0.394,1.015,-2.1,3.46,-0.18,0.2,0.33,0.02,0.16,0,0,0,1,tran,2011
5.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.15,4.78,1.093,2.674,-2.31,4.26,-0.57,0.17,0.3,0,0.14,0,0,0,0,tran,2011
5.02,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.65,0.65,7.05,1.093,2.674,-2.29,-0.41,-1.35,0.27,0.8,0.01,0.28,0,0,0,0,tran,2011
7.01,Hot,Neptunian,gas,metals-rich,non-habitable,1.53,2.47,3.21,0.976,2.389,-2.32,2.05,-0.45,0.24,0.4,0,0.18,0,0,0,1,tran,2011
10.01,Hot,Jovian,gas,metals-rich,non-habitable,0.76,3.47,3.52,1.26,3.062,-2.35,12.35,-0.01,0.07,0.12,0,0.06,0,0,0,1,tran,2011
12.01,Hot,Jovian,gas,metals-rich,non-habitable,0.68,3.01,17.86,1.341,3.182,-2.3,10.55,0.2,0.08,0.14,0.01,0.07,0,0,0,0,tran,2011
13.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,9.14,13.69,1.76,4.753,11.102,-2.49,23.9,2.83,0.04,0.09,0,0.05,0,0,0,1,tran,2011
17.01,Hot,Jovian,gas,metals-rich,non-habitable,0.97,3.79,3.23,0.824,2.019,-2.3,11.16,0.33,0.08,0.13,0,0.06,0,0,0,1,tran,2011
18.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,2.61,6.47,3.55,1.764,4.238,-2.38,11.95,1.28,0.08,0.12,0,0.06,0,0,0,1,tran,2011
20.01,Hot,Jovian,gas,metals-rich,non-habitable,0.38,2.69,4.44,1.11,2.699,-2.33,16.1,-0.3,0.06,0.1,0,0.05,0,0,0,1,tran,2011
22.01,Hot,Jovian,gas,metals-rich,non-habitable,0.7,2.82,7.89,0.884,2.154,-2.27,8.84,0.01,0.1,0.16,0.01,0.08,0,0,0,0,tran,2011
41.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.73,12.82,0.96,2.345,-2.23,0.48,-0.59,0.3,0.65,0.01,0.26,0,0,0,0,tran,2011
41.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.19,1.22,6.89,0.96,2.345,-2.28,-0.19,-1.01,0.29,0.89,0.01,0.29,0,0,0,0,tran,2011
41.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.29,1.34,35.33,0.96,2.345,-2.07,-0.08,-0.69,0.31,0.83,0.06,0.32,0,0,0,0,tran,2011
42.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.29,1.87,17.83,1.146,2.767,-2.24,1.17,-0.48,0.28,0.54,0.02,0.23,0,0,0,0,tran,2011
44.01,Hot,Jovian,gas,metals-rich,non-habitable,0.73,2.64,66.47,0.604,1.504,-1.67,7.51,0.79,0.11,0.19,0.25,0.22,0,0,0,0,tran,2011
46.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.86,1.93,3.49,0.826,2.029,-2.29,3.09,-0.66,0.2,0.38,0,0.17,0,0,0,0,tran,2011
46.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.96,0.96,6.03,0.826,2.029,-2.26,-0.33,-1.15,0.28,0.98,0.01,0.3,0,0,0,0,tran,2011
49.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.92,1.73,8.31,0.818,1.997,-2.25,2.08,-0.63,0.24,0.47,0.01,0.21,0,0,0,0,tran,2011
51.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,0.69,2.93,10.43,0.069,0.19,-1.22,9.83,1.47,0.09,0.15,0.61,0.34,0,0,0,0,tran,2011
63.01,Hot,Jovian,gas,metals-rich,non-habitable,0.8,2.24,9.43,0.732,1.803,-2.2,4.81,-0.24,0.16,0.27,0.02,0.14,0,0,0,0,tran,2011
69.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.33,1.41,4.73,0.617,1.528,-2.24,-0.01,-0.86,0.29,0.8,0.01,0.28,0,0,0,0,tran,2011
70.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.77,2.31,10.85,0.634,1.58,-2.14,1.09,-0.11,0.29,0.5,0.02,0.22,0,0,0,1,tran,2011
70.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.36,2.12,3.7,0.634,1.58,-2.24,-0.15,-0.49,0.3,0.69,0.01,0.26,0,0,0,1,tran,2011
70.03,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,77.61,0.634,1.58,-1.61,1.34,0.06,0.32,0.53,0.29,0.4,0,0,0,1,tran,2011
70.04,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.88,0.88,6.1,0.634,1.58,-2.21,-0.36,-1.17,0.28,0.93,0.01,0.3,0,0,0,1,tran,2011
70.05,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.01,1.01,19.58,0.634,1.58,-2.05,-0.31,-0.95,0.3,1,0.05,0.33,0,0,0,1,tran,2011
72.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.24,1.79,0.84,0.716,1.77,-2.33,-0.55,-0.94,0.28,0.83,0,0.28,0,0,0,1,tran,2011
72.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.79,45.29,0.716,1.77,-1.9,0.63,-0.19,0.33,0.62,0.12,0.32,0,0,0,1,tran,2011
75.01,Hot,Jovian,gas,metals-rich,non-habitable,0.74,2.55,105.89,1.616,3.943,-1.98,6.85,0.38,0.12,0.2,0.09,0.15,0,0,0,0,tran,2011
82.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.89,16.15,0.412,1.055,-1.92,0.92,-0.16,0.32,0.56,0.09,0.29,0,0,0,0,tran,2011
82.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.26,1.3,10.31,0.412,1.055,-2.02,-0.12,-0.73,0.32,0.85,0.05,0.32,0,0,0,0,tran,2011
82.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.07,1.08,27.45,0.412,1.055,-1.77,-0.28,-0.76,0.34,0.96,0.18,0.42,0,0,0,0,tran,2011
82.04,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.68,0.69,7.07,0.412,1.055,-2.08,-0.41,-1.23,0.29,0.82,0.03,0.3,0,0,0,0,tran,2011
82.05,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.53,0.53,5.29,0.412,1.055,-2.11,-0.44,-1.36,0.28,0.7,0.02,0.28,0,0,0,0,tran,2011
84.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.79,9.29,0.597,1.482,-2.16,0.61,-0.49,0.3,0.62,0.02,0.26,0,0,0,1,tran,2011
85.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.84,5.86,1.009,2.436,-2.32,0.75,-0.68,0.28,0.6,0,0.24,0,0,0,0,tran,2011
85.02,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.21,1.24,2.15,1.009,2.436,-2.36,-0.17,-1.13,0.28,0.88,0,0.29,0,0,0,0,tran,2011
85.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.29,1.35,8.13,1.009,2.436,-2.3,-0.08,-0.92,0.29,0.83,0.01,0.29,0,0,0,0,tran,2011
87.01,Warm,Superterran,rocky-water,metals-rich,mesoplanet,1.44,1.74,289.86,0.586,1.458,-0.5,0.5,0.4,0.55,0.65,0.96,0.75,0,1,0,1,tran,2011
89.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.85,2,84.69,3.207,7.491,-2.28,3.42,-0.36,0.19,0.35,0.02,0.17,0,0,0,0,tran,2011
89.02,Hot,Jovian,gas,metals-rich,non-habitable,0.8,2.24,207.6,3.207,7.491,-2.1,4.8,0.06,0.16,0.27,0.07,0.16,0,0,0,0,tran,2011
92.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.74,65.7,0.825,2.012,-1.84,2.16,-0.17,0.26,0.46,0.16,0.3,0,0,0,0,tran,2011
94.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.31,1.38,22.34,1.286,3.103,-2.23,-0.04,-0.8,0.3,0.81,0.02,0.29,0,0,0,0,tran,2011
94.02,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.77,10.42,1.286,3.103,-2.3,2.3,-0.68,0.23,0.45,0.01,0.2,0,0,0,0,tran,2011
94.03,Hot,Jovian,gas,metals-rich,non-habitable,0.73,2.61,54.32,1.286,3.103,-2.08,7.26,0.32,0.12,0.19,0.06,0.12,0,0,0,0,tran,2011
94.04,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.12,3.74,1.286,3.103,-2.36,4.11,-0.67,0.17,0.31,0,0.14,0,0,0,0,tran,2011
97.01,Hot,Jovian,gas,metals-rich,non-habitable,0.42,2.76,4.89,1.4,3.415,-2.33,15.15,-0.31,0.06,0.1,0,0.05,0,0,0,1,tran,2011
98.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,16.46,14.48,6.79,1.463,3.501,-2.36,11.88,6.07,0.07,0.15,0,0.07,0,0,0,1,tran,2011
99.01,Cold,Neptunian,gas,metals-rich,non-habitable,0.91,1.76,579.93,0.406,1.033,1.64,2.23,0.91,0.26,0.45,0.31,0.38,0,0,0,0,tran,2011
100.01,Hot,Jovian,gas,metals-rich,non-habitable,0.63,3.46,9.97,3.041,7.22,-2.4,15.14,-0.04,0.06,0.1,0,0.05,0,0,0,0,tran,2011
102.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.8,1.74,0.825,2.02,-2.33,2.45,-0.85,0.22,0.43,0,0.19,0,0,0,0,tran,2011
